Wall time,Step,Value
1671075570.1996236,1,83.69999694824219
1671075570.8411062,2,83.4000015258789
1671075571.4554682,3,83.69999694824219
1671075572.0909,4,85.4000015258789
1671075572.759231,5,85.80000305175781
1671075573.3835645,6,86.19999694824219
1671075574.0498948,7,86.5999984741211
1671075574.7450395,8,87.9000015258789
1671075575.3439622,9,88.0999984741211
1671075576.0022058,10,89.0
1671075576.627663,11,89.9000015258789
1671075577.2140975,12,90.69999694824219
1671075577.8136578,13,91.5
1671075578.4830575,14,93.80000305175781
1671075579.1115048,15,90.0
1671075579.717886,16,93.19999694824219
1671075580.40016,17,92.30000305175781
1671075581.0075388,18,96.4000015258789
1671075581.6338673,19,93.5999984741211
1671075582.2812495,20,95.80000305175781
1671075582.9085758,21,96.0
1671075583.5160928,22,96.9000015258789
1671075584.196275,23,98.19999694824219
1671075584.803654,24,99.30000305175781
1671075585.4130273,25,99.4000015258789
1671075586.1561449,26,99.80000305175781
1671075586.753551,27,99.80000305175781
1671075587.3649168,28,100.0
1671075588.0451014,29,100.0
1671075588.7084377,30,100.0
1671075589.4175458,31,100.0
1671075590.1008754,32,100.0
1671075590.7361777,33,100.0
1671075591.3466578,34,100.0
1671075591.9909382,35,100.0
1671075592.622253,36,100.0
1671075593.219661,37,100.0
1671075593.8709228,38,100.0
1671075594.491378,39,100.0
1671075595.0917776,40,100.0
1671075595.7749522,41,100.0
1671075596.39829,42,100.0
1671075596.9962137,43,100.0
1671075597.6544542,44,100.0
1671075598.3058305,45,100.0
1671075598.926173,46,100.0
1671075599.5894058,47,100.0
1671075600.2636077,48,100.0
1671075600.9158697,49,100.0
1671075601.551172,50,100.0
1671075602.1985886,51,100.0
1671075602.8279092,52,100.0
1671075603.4642127,53,100.0
1671075604.1524749,54,100.0
1671075604.771939,55,100.0
1671075605.4232068,56,100.0
1671075606.0574198,57,100.0
1671075606.702628,58,100.0
1671075607.3658552,59,100.0
1671075607.9724288,60,100.0
1671075608.6286788,61,100.0
1671075609.267974,62,100.0
1671075609.9631186,63,100.0
1671075610.5865867,64,100.0
1671075611.2288723,65,100.0
1671075611.8822727,66,100.0
1671075612.5155826,67,100.0
1671075613.2087352,68,100.0
1671075613.837169,69,100.0
1671075614.4824474,69,94.0
1671075615.127726,70,91.80000305175781
1671075615.7361002,71,93.9000015258789
1671075616.3775132,72,89.30000305175781
1671075617.0407429,73,89.19999694824219
1671075617.6522076,74,95.9000015258789
1671075618.2835224,75,97.0
1671075618.977773,76,98.80000305175781
1671075619.582161,77,99.19999694824219
1671075620.2365396,78,99.5999984741211
1671075620.8887987,79,99.9000015258789
1671075621.4901953,80,100.0
1671075622.1394606,81,99.4000015258789
1671075622.8047876,82,99.5999984741211
1671075623.4202483,83,99.80000305175781
1671075624.0665233,84,99.69999694824219
1671075624.7227736,85,99.9000015258789
1671075625.3461096,86,96.30000305175781
1671075625.9466276,87,98.69999694824219
1671075626.699617,88,98.30000305175781
1671075627.3438964,89,99.19999694824219
1671075627.9622474,90,99.69999694824219
1671075628.6376705,91,98.69999694824219
1671075629.247044,92,99.9000015258789
1671075629.8863428,93,99.0999984741211
1671075630.5665278,94,99.30000305175781
1671075631.1719117,95,99.5999984741211
1671075631.770313,96,98.9000015258789
1671075632.4564838,97,97.5999984741211
1671075633.0548863,98,98.19999694824219
1671075633.6662574,99,99.30000305175781
1671075634.3394663,100,99.5999984741211
1671075634.9657943,101,98.5
1671075635.5681887,102,97.0999984741211
1671075636.2564926,103,97.0999984741211
1671075636.9017692,104,96.69999694824219
1671075637.5211167,105,99.5
1671075638.193437,106,99.69999694824219
1671075638.8168652,107,98.5999984741211
1671075639.4173627,108,99.80000305175781
1671075640.072612,109,97.4000015258789
1671075640.7060158,110,99.9000015258789
1671075641.2944453,111,96.19999694824219
1671075641.9627738,112,98.80000305175781
1671075642.569155,113,98.0
1671075643.2175186,114,99.5
1671075643.8868363,115,99.5
1671075644.500198,116,99.19999694824219
1671075645.104587,117,99.80000305175781
1671075645.7538517,118,99.19999694824219
1671075646.3911517,119,99.5
1671075647.0174787,120,98.30000305175781
1671075647.6718497,121,99.5
1671075648.3570206,122,97.9000015258789
1671075648.9844577,123,98.0
1671075649.6387112,124,98.4000015258789
1671075650.28299,125,98.69999694824219
1671075650.8973498,126,99.9000015258789
1671075651.5427258,127,100.0
1671075652.1530967,128,99.4000015258789
1671075652.7865064,129,99.5999984741211
1671075653.4168289,130,99.0999984741211
1671075654.045261,131,99.4000015258789
1671075654.6586232,132,99.0999984741211
1671075655.3078902,133,98.5999984741211
1671075655.9253767,134,99.0999984741211
1671075656.5437264,135,99.19999694824219
1671075657.2079537,136,99.5
1671075657.8312898,137,99.5
1671075658.456769,138,96.19999694824219
1671075659.1529129,139,97.9000015258789
1671075659.7592921,140,98.4000015258789
1671075660.4005816,141,98.9000015258789
1671075661.0678005,142,99.69999694824219
1671075661.7100852,143,99.30000305175781
1671075662.341539,144,97.30000305175781
1671075662.9967897,145,99.4000015258789
1671075663.5962977,146,99.4000015258789
1671075664.2246208,147,96.5999984741211
1671075664.902909,148,98.5
1671075665.529237,149,98.9000015258789
1671075666.1336246,150,96.19999694824219
1671075666.792864,151,97.4000015258789
1671075667.4461212,152,98.9000015258789
1671075668.0744472,153,98.5
1671075668.7427635,154,99.19999694824219
1671075669.3681984,155,98.9000015258789
1671075669.9875453,156,98.0999984741211
1671075670.6778316,157,99.0
1671075671.2911959,158,98.5999984741211
1671075671.9106462,159,97.9000015258789
1671075672.5868428,160,98.80000305175781
1671075673.1833508,161,98.9000015258789
1671075673.81168,162,97.0
1671075674.50383,163,98.19999694824219
1671075675.1311574,164,98.0
1671075675.7365422,165,95.69999694824219
